Level1,Level2,Level3,Level4,Content
ステップ5のヒント,その先のヒント,どこから手を付ければよいか分からない,ヒント1,まずは、ステップ4のまとめの謎の答えが「理論」になるよう、まとめの謎のルールを分析しましょう。 これによりAの答えの頭文字、最後の文字が分かります。
ステップ5のヒント,その先のヒント,どこから手を付ければよいか分からない,ヒント2,この謎は立方体を全てのマスを通るように転がして一周させるというものです。 ノイズに隠れてはいますが、この盤面で立方体を一周させる方法は（スタート地点の違いと出発する方向を無視すれば）1通りしかありません。 目に見えている壁の位置からその通り方を導きましょう。<br>なお、盤面は5×5の大きさで、中央のマスを除いて壁になっているマスは存在しません。
ステップ5のヒント,その先のヒント,どこから手を付ければよいか分からない,ヒント3,"立方体を1周させるルートは画像のようになります（辺上の壁の位置は確定しません）。<br>ルートが分かったら、立方体の配置に関するルールを分析しましょう。 ルールに注目して考えれば、立方体をどこに配置したか、1つに確定します。<img src=""img/4_matome_ans.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,どこから手を付ければよいか分からない,ヒント4,立方体には、「ん」の面が上になる文字を読むという読み方と、進行方向3マス目で「ん」の面が上になるというルールがありました。 これらから、答えが「理論」になるためには、前のヒントにあるルートに沿って「り」のマスから3マス離れたマスに立方体を配置するということが分かります。<br>「り」のマスの先で立方体を転がすと「ろ」「ん」になると考えて進行方向を特定しましょう。 進行方向が分かれば、その方向に「り」から3マス戻った先が配置マスであり、同時にAの答えの1文字目でもあります。
ステップ5のヒント,その先のヒント,どこから手を付ければよいか分からない,答え,"Aの答えの1文字目は「も」、最後の文字は「ち」です。<img src=""img/4_matome_ans2.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Aの問題の盤面の復元方法,ヒント1,まずは、Aの問題のノイズの下にある二重枠に注目しましょう。この二重枠に見覚えがないでしょうか。
ステップ5のヒント,その先のヒント,Aの問題の盤面の復元方法,ヒント2,"Aの問題の二重枠は、ステップ1の5問目にありました。 ステップ1の5問目の答えは「ドン」です。 メダルを埋めること、答えが「ドン」になることから、ノイズの下を特定して二重枠の中身を復元しましょう。<img src=""img/1_5_noise.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Aの問題の盤面の復元方法,答え,"二重枠は画像のようになっています。<img src=""img/1_5.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Aの答え,,まとめの謎のルールの分析、およびAの問題の盤面の復元により特定できます。<br>まとめの謎のルールの分析のヒントは「どこから手を付ければよいか分からない」を、Aの問題の盤面の復元は「Aの問題の盤面の復元方法」のヒントをご覧ください。
ステップ5のヒント,その先のヒント,Aの答え,答え,<b>もち（餅）</b><br>まとめの謎のルールの分析から、Aの答えの頭文字は「も」、最後の文字は「ち」であると分かります。<br>また、Aの問題の盤面の復元から、Aの答えが2文字であると分かります。<br>これらから、Aの答えは「もち」になります。
ステップ5のヒント,その先のヒント,Cのボードの復元方法,ヒント1,まずはCの問題に描かれた▶と「ボード」という言葉に注目しましょう。これらに見覚えはないでしょうか。
ステップ5のヒント,その先のヒント,Cのボードの復元方法,ヒント2,"▶と「ボード」という言葉はステップ2のまとめの謎にありました。 このボードの謎の切り取られ方を見ると、答えが「し」から始まる3文字であると分かります。 そのような答えになる謎を探し出し、「ボード」を復元しましょう。<img src=""img/1_matome_ans.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Cのボードの復元方法,ヒント3,"「し」から始まる3文字の答えになる謎は1つしかありません。 それは、ステップ1のまとめの謎、「しぜん」です。<br>この謎がステップ1のまとめの謎であることに注意して、ステップ2で見えている箇所からボードを復元しましょう。<br>なお、ステップ1の謎の答えは「なつかぜ」「しんがた」「したしみ」「まぜんた」「どん」です。<img src=""img/1_6_noise.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Cのボードの復元方法,答え,"ステップ1の答えを埋めると答えが「しぜん」になるようなボード盤面は、画像のように1通りに確定します。<br><br>みど<br>しんがた<br>た　　ん<br>し　　ぜかつな<br>　　　ま<img src=""img/1_board.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Cの答えの最後の文字,,Cの答えの最後の文字は、Cのボードの復元と、Aの答えから特定できます。<br>Cのボードの復元のヒントは「Cのボードの復元方法」を、Aの答えは「Aの答え」をご覧ください。
ステップ5のヒント,その先のヒント,Cの答えの最後の文字,答え,<b>ち</b><br>Cのボードの復元から、埋める言葉は2文字の言葉1つと4文字の言葉4つであると分かります。 よって、Aの答えが「もち」であることから、2文字の言葉である「もち」を埋める位置は1つに特定できます。<br>ボードの矢印は「もち」の2文字目のマスを最後に通るため、Cの答えの最後の文字は「ち」になります。
ステップ5のヒント,その先のヒント,立方体の「ん」の面の特定方法,,まとめの謎の問題の分析から、立方体の青枠の面とその裏は「ん」でないことが分かります（実際に「も」のマスから「り」のマスまで3マス転がすことを考えてみてください）。<br>よって、立方体の「ん」の面は必ずBの答えに含まれます。<br>ここでは、Bの1文字目を除いた3文字のどこが「ん」なのか特定します。
ステップ5のヒント,その先のヒント,立方体の「ん」の面の特定方法,ヒント1,Bの問題に注目しましょう。ここでは、2つのグループIとIIでしりとりし、それぞれの語群から文字を拾うようです。 ノイズの隙間から見える情報から、Bの答えは1、3文字目がグループIであり、2、4文字目がグループIIであることが分かります。<br>現在、Aの答えは特定できているので、グループIは全ての語が確定しますね。<br>Aの答えが分かっていない場合は「Aの答え」をご覧ください。
ステップ5のヒント,その先のヒント,立方体の「ん」の面の特定方法,ヒント2,Aの答えは「もち」なので、グループIの語は<br>　もち→ちょうぼ→ぼりびあ→あかねこ→こうし<br>だと確定します。この中に「ん」を含む単語は存在しないため、Bの3文字目は「ん」でないと分かります。<br>では、グループIIのしりとりではどうなるでしょうか。そのためにはCの謎について考える必要があります。 もしCの答えの最後の文字が特定できていない場合は「Cの答えの最後の文字」をご覧ください。
ステップ5のヒント,その先のヒント,立方体の「ん」の面の特定方法,ヒント3,Cの答えの最後の文字は「ち」でした。これにより、グループIIのしりとりは<br>　C（○○ち）→ちんか→かろりー→りょう→うかんむり<br>だと推測できます。では、この情報をもとにBの答えのうち確定する文字はないでしょうか。
ステップ5のヒント,その先のヒント,立方体の「ん」の面の特定方法,答え,ノイズの隙間には、Bの4文字目はグループIIの4番目の3文字であると書いてありました。その文字は「量」の「う」です。<br>よって、消去法によりBの2文字目が「ん」であると特定できます。
ステップ5のヒント,その先のヒント,Cの答え,,Cの答えは、Cのボードの復元、Aの答え、立方体の「ん」の面の特定から特定できます。<br>Cのボードの復元のヒントは「Cのボードの復元方法」を、Aの答えは「Aの答え」を、立方体の「ん」の面は「立方体の『ん』の面の特定方法」をご覧ください。
ステップ5のヒント,その先のヒント,Cの答え,ヒント1,ボードに埋める言葉のうち、現在分かっている情報は、<br>　①もち（A）<br>　②○ん○う（B）<br>　③りょぎん<br>　④にじいろ<br>　⑤○○○○<br>です。これらをボードに埋めるに当たり、まず2文字の「もち」が埋まります。<br>では、この「もち」と繋がる、2文字目が「ち」の4文字の言葉はどれでしょうか。
ステップ5のヒント,その先のヒント,Cの答え,ヒント2,①～⑤のうち、2文字目が「ち」になりうる4文字の言葉は⑤だけです。<br>　①もち（A）<br>　②○ん○う（B）<br>　③りょぎん<br>　④にじいろ<br>　⑤○ち○○<br>これにより、⑤が埋まる位置が特定できました。<br>続いて、縦向きの4文字のマスのうち、右側にあるマスに埋まる言葉を特定しましょう。2文字目が他の4文字の言葉の最後の文字になることに注目してください。
ステップ5のヒント,その先のヒント,Cの答え,ヒント3,2文字目が他の4文字の言葉の最後の文字になるような組み合わせは、②と③しかありません。<br>よって、縦向きの4文字のマスのうち右側にあるマスには、②○ん○う（B）が入ります。同時に、一番右側から左に伸びる4文字のマスには③りょぎんが入ります。<br>また、消去法により、縦向きの4文字のマスのうち左側にあるマスには、④にじいろが入ります。<br>これで、ボードに埋まる全ての言葉が特定できました。あとはCの答えを特定するだけです。
ステップ5のヒント,その先のヒント,Cの答え,答え,<b>にんち（認知）</b><br><br>　ろも<br>　いち？う<br>　じ　　？<br>　に　　んぎょり<br>　　　　？
ステップ5のヒント,その先のヒント,Cの問題の5つ目の単語の復元（一部）,,Cの5つ目の単語は、Cの答えを求める過程で1、2、4文字目が特定できます。 Cの答えの求め方は「Cの答え」をご覧ください。
ステップ5のヒント,その先のヒント,Cの問題の5つ目の単語の復元（一部）,答え,<b>いち？う</b>
ステップ5のヒント,その先のヒント,Aの問題の全体像の復元,,Aの問題の全体像は、Aの盤面の復元とCの答え、Bの最後の文字から特定できます。<br>Aの盤面の復元のヒントは「Aの問題の盤面の復元方法」を、Cの答えは「Cの答え」を、Bの最後の文字は「立方体の『ん』の面の特定方法」をご覧ください。
ステップ5のヒント,その先のヒント,Aの問題の全体像の復元,ヒント1,Aの答えは「もち」、Cの答えは「にんち」、Bの答えの最後の文字は「う」ですので、これらをもとに今わかっている情報をまとめると次のようになります。<br><br>　▼盤面　　　▼埋める文字<br>　１？？　　　？う（B）<br>　２？ち　　　にち（C）<br>　３も？　　　？？<br>注目するべきはCの答えである「にち」です。 問題文には「漢字のパーツの個数」とあるので、「にち」という漢字が複数のパーツでできていると考えたとき、どのようなパーツの組み合わせが考えられるでしょうか。<br>なお、音読みで埋めることに注意しましょう。
ステップ5のヒント,その先のヒント,Aの問題の全体像の復元,ヒント2,「にち」は「日」であり、縦に「口」が2個組み合わさったと考えられます。<br>このとき、1個であれば「口（こう）」、3個であれば「目（もく）」になりますが、ここまでに特定した盤面・埋める文字と矛盾しません。<br>よって、Aの問題の盤面・埋める文字は次のようになります。<br>　▼盤面　　　▼埋める文字<br>　１こう　　　こう（B）<br>　２にち　　　にち（C）<br>　３もく　　　もく<br>では、この情報をもとに、Aの問題の全体像を復元してみましょう。
ステップ5のヒント,その先のヒント,Aの問題の全体像の復元,答え,"<img src=""img/4_A.png"" class=""w-full"">"
ステップ5のヒント,その先のヒント,Bの問題の全体像の復元,,Bの問題の全体像を復元する必要はありません。
ステップ5のヒント,さらにその先のヒント,,,これは、すでにステップ4の問題を復元できていて、ステップ4のもう1つの答えを求めたい方のためのヒントです。<br>まだステップ4の問題を復元できていない方は、「その先のヒント」をご覧ください。
ステップ5のヒント,さらにその先のヒント,Aの問題の答え,ヒント1,"Aの問題の全体像を復元すると、画像のようになりました。<br>では、漢字のパーツが1個、2個、3個あり、音読みで「もく」となるものが含まれるものといえばなんでしょうか。 いずれも小学校で習う漢字です。<img src=""img/4_A.png"" class=""w-full"">"
ステップ5のヒント,さらにその先のヒント,Aの問題の答え,答え,<b>しん</b><br><br>▼盤面　　　　　　　▼埋める文字<br>　１もく（木）　　　B（りん　または　しん）<br>　２りん（林）　　　C（りん　または　しん）<br>　３しん（森）　　　もく
ステップ5のヒント,さらにその先のヒント,Cの問題の答え,,Cの答えは、Aの答えから特定することができます。<br>まだAの答えが分からない場合は、「Aの問題の答え」のヒントをご覧ください。
ステップ5のヒント,さらにその先のヒント,Cの問題の答え,ヒント1,"Cの埋める文字は「しん（A）」「○○○○（B）」「りょぎん」「にじいろ」「いち○う」であることが分かっています。<br>また、Aの答えを求める過程で、Cの答えの1文字目が「し」または「り」であることが分かっています。<br>では、矢印が最初に通る文字として可能性があるものは「し」と「り」のどちらでしょうか。<img src=""img/1_board.png"" class=""w-full"">"
ステップ5のヒント,さらにその先のヒント,Cの問題の答え,ヒント2,矢印が最初に通る文字として可能性があるのは「りょぎん」の「り」のみです。 よって、1番左の縦4文字のマスには「りょぎん」が埋まります。同時に、Cの答えの1文字目は「し」になります。<br><br>　んし<br>　ぎん？？<br>　ょ　　？<br>　り　　？？？？<br>　　　　？<br>しかし、これでは「ぎん？？」という言葉が必要になりますが、Cに埋める文字の中に「ぎん」で始まる4文字の言葉は存在しません。<br>では、どのような状況であればこの矛盾を解消できるでしょうか。手がかりは、語群が漢字で書かれていることにあります。
ステップ5のヒント,さらにその先のヒント,Cの問題の答え,答え,もし「いち？う」という言葉が「いちょう（銀杏）」であれば、「ぎんなん」とも読むことができます。<br>すると、埋め方は次のように定まります。<br><br>　んし<br>　ぎんなん<br>　ょ　　？<br>　り　　ろいじに<br>　　　　し<br>よって、Cの答えは「りろん」です。これはオラクルが告げている「理論」という状況とも一致します。
ステップ5のヒント,さらにその先のヒント,Bの問題の答え（一部）,,Bの答えのうち1、2、4文字目は、Cの答えを求める過程で特定することができます。<br>Cの答えを求める方法は「Cの問題の答え」をご覧ください。
ステップ5のヒント,さらにその先のヒント,Bの問題の答え（一部）,答え,しろ？ん
ステップ5のヒント,さらにその先のヒント,まとめの謎の答え,,まとめの謎の答えは、Aの答え、Cの答え、Bの答えのうち特定できる文字から求めることができます。<br>Aの答え、Cの答え、Bの答えの一部の特定方法はそれぞれ「Aの問題の答え」「Cの問題の答え」「Bの問題の答え（一部）」をご覧ください。
ステップ5のヒント,さらにその先のヒント,まとめの謎の答え,ヒント1,A、B、Cの答えはそれぞれ「しん」、「しろ？ん」、「りろん」でした。<br>まとめの謎のルールに従って、「し」のマスに立方体を配置しましょう。 また、今回は「ん」の面が2つあります。どちらの「ん」の面であっても、「ん」が上に来たタイミングでマスに書いてある文字を読んでみましょう。
ステップ5のヒント,さらにその先のヒント,まとめの謎の答え,答え,<b>あまのがわ（天の川）</b><br>立方体を「し」のマスに配置して転がしていくと、「こた？？あまのか（が）わ」と読むことができます。<br>前半が「答えは～」と書いてあると推測すれば、単語になる「あまのがわ」が答えだと推測できます。
,,,,
,,,,
,,,,
,,,,
,,,,
